time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
2.806,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
2.8192,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
2.8326,0.0,0.0,1.0,0.0,-0.051,1.6,-8.65
2.8474,0.0,0.0,1.0,0.0,-0.051,1.6,-8.65
2.861,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
2.8744,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
2.8888,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
2.9023,0.0,0.0,1.0,0.0,-0.051,1.6,-8.65
2.916,0.0,0.0,1.0,0.0,-0.051,1.6,-8.65
2.9299,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
2.9439,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
2.9579,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
2.9716,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
2.9861,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
3.0003,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
3.0145,0.0,0.0,1.0,0.0,-0.05,1.6,-8.65
3.0276,0.0,0.0,1.0,0.0,-0.049,1.6,-8.649
3.0417,0.0,0.0,1.0,0.0,-0.049,1.6,-8.65
3.0557,0.0,0.0,1.0,0.0,-0.049,1.6,-8.649
3.069,0.0,0.0,1.0,0.0,-0.049,1.6,-8.649
3.0839,0.0,0.0,1.0,0.0,-0.048,1.6,-8.649
3.0967,0.0,0.0,1.0,0.0,-0.048,1.6,-8.649
3.1132,0.0,0.0,1.0,0.0,-0.047,1.6,-8.649
3.1259,0.0,0.0,1.0,0.0,-0.046,1.6,-8.649
3.139,0.0,0.0,1.0,0.0,-0.046,1.6,-8.649
3.1522,0.0,0.0,1.0,0.0,-0.045,1.6,-8.649
3.1665,0.0,0.0,1.0,0.0,-0.045,1.6,-8.65
3.1804,0.0,0.0,1.0,0.0,-0.044,1.6,-8.65
3.1945,0.0,0.0,1.0,0.0,-0.044,1.6,-8.65
3.2083,0.0,0.0,1.0,0.0,-0.044,1.6,-8.65
3.2217,0.0,0.0,1.0,0.0,-0.044,1.6,-8.65
3.2354,0.0,0.0,1.0,0.0,-0.043,1.6,-8.651
3.2499,0.0,0.0,1.0,0.0,-0.043,1.6,-8.651
3.2637,0.0,0.0,1.0,0.0,-0.042,1.6,-8.651
3.2773,0.0,0.0,1.0,0.0,-0.042,1.6,-8.651
3.2912,0.0,0.0,1.0,0.0,-0.042,1.6,-8.651
3.305,0.0,0.0,1.0,0.0,-0.041,1.6,-8.651
3.3196,0.0,0.0,1.0,0.0,-0.041,1.6,-8.651
3.3341,0.0,0.0,1.0,0.0,-0.041,1.6,-8.651
3.3471,0.0,0.0,1.0,0.0,-0.041,1.6,-8.652
3.3609,0.0,0.0,1.0,0.0,-0.04,1.6,-8.652
3.3749,0.0,0.0,1.0,0.0,-0.04,1.6,-8.652
3.3893,0.0,0.0,1.0,0.0,-0.04,1.6,-8.651
3.4025,0.0,0.0,1.0,0.0,-0.04,1.6,-8.652
3.4162,0.0,0.0,1.0,0.0,-0.039,1.6,-8.652
3.4308,0.0,0.0,1.0,0.0,-0.039,1.6,-8.652
3.4442,0.0,0.0,1.0,0.0,-0.039,1.6,-8.652
3.4595,0.0,0.0,1.0,0.0,-0.039,1.6,-8.652
3.4717,0.0,0.0,1.0,0.0,-0.039,1.6,-8.652
3.4853,0.0,0.0,1.0,0.0,-0.039,1.6,-8.652
3.4993,0.0,0.0,1.0,0.0,-0.039,1.6,-8.653
3.5139,0.0,0.0,1.0,0.0,-0.039,1.6,-8.653
3.5282,0.0,0.0,1.0,0.0,-0.039,1.6,-8.654
3.5419,0.0,0.0,1.0,0.0,-0.039,1.6,-8.654
3.5553,0.0,0.0,1.0,0.0,-0.039,1.6,-8.654
